,title,studio,year,domestic_gross,foreign_gross,total_gross
91,Hot Tub Time Machine,MGM,2010,50300000,14300000,64600000
92,Devil,Uni.,2010,33600000,29100000,62700000
93,127 Hours,FoxS,2010,18300000,42400000,60700000
94,Tyler Perry's Why Did I Get Married Too?,LGF,2010,60100000,578000,60678000
95,Secretariat,BV,2010,59700000,537000,60237000
96,The Ghost Writer,Sum.,2010,15500000,44700000,60200000
97,Morning Glory,Par.,2010,31000000,29000000,60000000
98,Remember Me,Sum.,2010,19100000,37000000,56100000
99,Cop Out,WB,2010,44900000,10700000,55600000
100,The Crazies,Over.,2010,39100000,15700000,54800000
101,From Paris with Love,LGF,2010,24100000,28700000,52800000
102,Daybreakers,LGF,2010,30100000,21300000,51400000
103,Alpha and Omega,LGF,2010,25100000,25400000,50500000
104,The Switch,Mira.,2010,27800000,22100000,49900000
105,She's Out of My League,Par.,2010,32000000,17800000,49800000
106,Death at a Funeral (2010),SGem,2010,42700000,6300000,49000000
107,How Do You Know,Sony,2010,30200000,18500000,48700000
108,Charlie St. Cloud,Uni.,2010,31200000,17000000,48200000
109,Scott Pilgrim vs. the World,Uni.,2010,31500000,16100000,47600000
110,Heartbreaker,IFC,2010,504000,46900000,47404000
111,The Spy Next Door,LGF,2010,24300000,20900000,45200000
112,"The Good, the Bad, the Weird",IFC,2010,128000,44100000,44228000
113,Machete,Fox,2010,26600000,17500000,44100000
114,The Girl Who Kicked the Hornet's Nest,MBox,2010,5200000,38300000,43500000
115,The Man From Nowhere,CJ,2010,528000,42500000,43028000
116,When in Rome,BV,2010,32700000,10400000,43100000
117,My Name is Khan,FoxS,2010,4000000,38300000,42300000
118,Going the Distance,WB (NL),2010,17800000,24200000,42000000
119,The Concert,Wein.,2010,658000,40500000,41158000
120,Agora,NM,2010,619000,38400000,39019000
121,For Colored Girls,LGF,2010,37700000,17300,37717300
122,Brooklyn's Finest,Over.,2010,27200000,9300000,36500000
123,Furry Vengeance,Sum.,2010,17600000,18600000,36200000
124,Faster,CBS,2010,23200000,12400000,35600000
125,The Kids Are All Right,Focus,2010,20800000,13900000,34700000
126,You Will Meet a Tall Dark Stranger,SPC,2010,3200000,31000000,34200000
127,The Secret in Their Eyes,SPC,2010,6400000,27600000,34000000
128,Avatar: Special Edition,Fox,2010,10700000,22500000,33200000
129,Leap Year,Uni.,2010,25900000,6700000,32600000
130,You Again,BV,2010,25700000,6300000,32000000
131,Mesrine: Killer Instinct,MBox,2010,552000,30500000,31052000
132,The Losers,WB,2010,23600000,5800000,29400000
133,Case 39,ParV,2010,13300000,14900000,28200000
134,Ramona and Beezus,Fox,2010,26200000,1100000,27300000
135,Splice,WB,2010,17000000,9800000,26800000
136,Fair Game (2010),Sum.,2010,9500000,14600000,24100000
137,Let Me In,Over.,2010,12100000,12000000,24100000
138,Mao's Last Dancer,Gold.,2010,4800000,17500000,22300000
139,Just Wright,FoxS,2010,21500000,29900,21529900
